"ms"	"ms_name"	"fund"	"year"	"planned_eu_amount"	"n_3_decommitment_amount"	"de_commitments_at_closure"	"rec_at_closure"	"net_planned_eu_amount"	"cumulative_initial_pre_financing"	"cumulative_additional_initial_pre_financing"	"recovery_of_initial_pre_financing"	"net_initial_pre_financing"	"cumulative_annual_pre_financing"	"annual_pre_financing_covered_by_expenditure"	"pf_covered_by_expenditure_at_closure_clearing"	"recovery_of_annual_pre_financing"	"recovery_of_pf_at_closure"	"net_annual_pre_financing"	"cumulative_interim_payments"	"recovery_of_expenses"	"recovery_of_expenses_at_closure"	"payment_at_closure"	"net_interim_payments"	"total_net_payments"	"eu_payment_rate"	"eu_payment_rate_on_planned_eu_amount"
"1"	"SK"	"Slovakia"	"CF"	2017	4168251427	0	0	0	4168251427	117544690.23	0	0	117544690.23	181214730.77	0	0	78363126.82	0	220396294.18	509207305.17	0	0	0	509207305.17	729603599.35	17.5038289346935	17.5038289346935
"2"	"UK"	"United Kingdom"	"TOTAL"	2020	5861030512	46154833	0	0	5814875679	164281476.84	0	0	164281476.84	727195354.3	120458656.51	0	357955347.73	0	413062826.9	2116652330.26	16432276.13	0	0	2220678710.64	2633741537.54	45.2931701885144	44.9364925186385
"3"	"ES"	"Spain"	"TOTAL"	2018	20681351741	0	0	0	20681351741	638552276.36	0	0	638552276.36	1375171374.83	16000732	0	827751140.28	0	1169971778.91	2993154595.03	77194386.94	0	0	2931960940.09	4101932719	19.8339681582228	19.8339681582228
"4"	"BG"	"Bulgaria"	"CF"	2019	2278307144	0	0	0	2278307144	64248261.45	0	0	64248261.45	219514893.3	16100812.56	0	141842830.18	0	125819512.01	362896234.12	0	0	0	378997046.68	504816558.69	22.1575286729646	22.1575286729646
"5"	"NL"	"Netherlands"	"TOTAL"	2021	730697716	0	0	0	730697716	38552025.45	0	0	38552025.45	78040784.34	14864597.91	0	40989279.6	0	60738932.28	274180564.48	0	0	0	289045162.39	349784094.67	47.8698765591872	47.8698765591872
"6"	"AT"	"Austria"	"TOTAL"	2019	536262079	0	0	0	536262079	15122590.62	0	0	15122590.62	51668851.31	3553012.66	0	33623355.97	0	29615073.3	156442109.88	0	0	0	159995122.54	189610195.84	35.3577482475691	35.3577482475691
"7"	"NL"	"Netherlands"	"TOTAL"	2019	510282703	0	0	0	510282703	14306374.02	0	0	14306374.02	49036857.82	3096002.72	0	32150465.08	0	28096764.04	128338677.3	0	0	0	131434680.02	159531444.06	31.263345420509	31.263345420509
"8"	"MT"	"Malta"	"TOTAL"	2020	573346106	0	0	0	573346106	16979110.17	0	0	16979110.17	74661069.92	12596503.21	0	37861807.8	0	41181869.08	219856855.97	0	0	0	232453359.18	273635228.26	47.7260114608679	47.7260114608679
"9"	"IE"	"Ireland"	"TOTAL"	2022	470775098	0	0	0	470775098	13462894.8	0	0	13462894.8	69924797.59	18673438.85	0	37210976.38	0	27503277.16	427237483.98	7493314.51	0	0	438417608.32	465920885.48	98.9688892762973	98.9688892762973
"10"	"PT"	"Portugal"	"TOTAL"	2017	13638657876	0	0	0	13638657876	448711844.13	0	0	448711844.13	592940651.19	1608346.7	0	254798421.36	0	785245727.26	1823484700.7	0	0	0	1825093047.4	2610338774.66	19.1392642765343	19.1392642765343
"11"	"LT"	"Lithuania"	"CF"	2018	2048917626	0	0	0	2048917626	57779477.04	0	0	57779477.04	142041214.4	9168302.5	0	79908391.28	0	110743997.66	566580757.68	0	0	0	575749060.18	686493057.84	33.505156533804	33.505156533804
"12"	"EE"	"Estonia"	"CF"	2017	1061534677	0	0	0	1061534677	30267677.07	0	0	30267677.07	46662668.82	0	0	0	0	76930345.89	218159574.49	0	0	0	218159574.49	295089920.38	27.7984249383122	27.7984249383122
"13"	"BE"	"Belgium"	"ERDF"	2014	949587368	0	0	0	949587368	8036204.86	0	0	8036204.86	0	0	0	0	0	8036204.86	0	0	0	0	0	8036204.86	0.84628388401224	0.84628388401224
"14"	"FR"	"France"	"ERDF"	2018	8426107776	127002	0	0	8425980774	237689732.43	0	0	237689732.43	584320592.45	17889967.72	0	348548369.95	0	455571987.21	1330845611.61	10313715.24	0	0	1338421864.09	1793993851.3	21.2912170039091	21.2908960933281
"15"	"SI"	"Slovenia"	"TOTAL"	2023	2586473468	0	0	0	2586473468	100469478.51	0	0	100469478.51	418039558.84	110824637.76	0	228358327.01	0	179326072.58	2230163596.85	9306201.74	0	0	2331682032.87	2511008105.45	97.0823067205729	97.0823067205729
"16"	"SK"	"Slovakia"	"ERDF"	2024	7314288321	147316596	0	0	7166971725	295265777.04	0	0	295265777.04	1329415136.76	262326538.41	0	889734931.4	0	472619443.99	6430218739	60445173.82	0	0	6632100103.59	7104719547.58	99.13140193922	97.1348029470166
"17"	"RO"	"Romania"	"TOTAL"	2015	17661077676	0	0	0	17661077676	498042390.51	0	0	498042390.51	0	0	0	0	0	498042390.51	0	0	0	0	0	498042390.51	2.82000000026499	2.82000000026499
"18"	"FR"	"France"	"TOTAL"	2015	8426107776	0	0	0	8426107776	158459821.62	0	0	158459821.62	0	0	0	0	0	158459821.62	0	0	0	0	0	158459821.62	1.88058147168898	1.88058147168898
"19"	"CZ"	"Czechia"	"ERDF"	2017	11940689631	0	0	0	11940689631	336727447.59	0	0	336727447.59	519121481.71	0	0	224484965.06	0	631363964.24	533720824.78	0	0	0	533720824.78	1165084789.02	9.75726549323623	9.75726549323623
"20"	"LU"	"Luxembourg"	"ERDF"	2023	89189782	0	0	0	89189782	11003074.62	0	0	11003074.62	6386663.66	2902451.64	0	1505632.02	0	12981654.62	66370779.13	830013.35	0	0	68443217.42	81424872.04	91.2939466989615	91.2939466989615
