"Index","P6","P7"
"1996-01-01",2623,1362.1
"1996-04-01",4249.6,2646.6
"1996-07-01",4173.7,1579.9
"1996-10-01",4382.5,2999.7
"1997-01-01",4068.5,1657.5
"1997-04-01",4061.9,2298.3
"1997-07-01",4658.8,2223.2
"1997-10-01",3734.4,2371
"1998-01-01",3788,1758.8
"1998-04-01",3338.9,2167.1
"1998-07-01",3957.8,2006.3
"1998-10-01",2569.2,2426.4
"1999-01-01",2494.2,2028.7
"1999-04-01",2507.2,2303.1
"1999-07-01",3521.4,2730.1
"1999-10-01",2711.1,2673.5
"2000-01-01",1924.6,1962.1
"2000-04-01",2195.7,2095.6
"2000-07-01",2847.4,2177.8
"2000-10-01",2338.3,2559.9
"2001-01-01",2329.4,2442.5
"2001-04-01",2214.4,2325.8
"2001-07-01",2929.1,2649.6
"2001-10-01",1946.3,2482.3
"2002-01-01",2006.5,2141
"2002-04-01",2427.8,2658.7
"2002-07-01",3586.8,2842.4
"2002-10-01",2232.4,2880.8
"2003-01-01",2072.3,2280.5
"2003-04-01",2720.7,3168.1
"2003-07-01",3821.2,3229.1
"2003-10-01",2301.9,3439.7
"2004-01-01",2712.7,3243.4
"2004-04-01",3289.6,3824.4
"2004-07-01",4625,3901.1
"2004-10-01",2964.3,4328.4
"2005-01-01",2822.9,3627.6
"2005-04-01",3725.8,4365.9
"2005-07-01",4804.3,4587.5
"2005-10-01",3473.4,4911.2
"2006-01-01",3194.8,4404.8
"2006-04-01",4158.4,4979
"2006-07-01",5056.6,5414.3
"2006-10-01",3552.8,5478
"2007-01-01",3913.8,5599.7
"2007-04-01",4837.9,6076
"2007-07-01",5765.5,6399.3
"2007-10-01",4577.6,6786.8
"2008-01-01",4377.9,6029.2
"2008-04-01",4981.6,7017
"2008-07-01",5944.4,6534
"2008-10-01",4264.1,6490.8
"2009-01-01",3534.2,4673.3
"2009-04-01",4138.8,5239.4
"2009-07-01",5435.3,5207.4
"2009-10-01",4167.2,5343.6
"2010-01-01",3601,4405.3
"2010-04-01",4555.3,5137.2
"2010-07-01",6296.4,5224.6
"2010-10-01",4729.8,5634.8
"2011-01-01",4635,5119
"2011-04-01",5248.6,5504
"2011-07-01",6505.4,5786.3
"2011-10-01",5201.7,5954.4
"2012-01-01",4546,5284.3
"2012-04-01",5622,6181.5
"2012-07-01",6630.9,6079
"2012-10-01",5231.8,6021.8
"2013-01-01",5030.3,5474.1
"2013-04-01",5913.2,6163.5
"2013-07-01",7451.4,6672.7
"2013-10-01",5757.7,6278
"2014-01-01",5035.6,5910.8
"2014-04-01",6193.1,6461.9
"2014-07-01",7419.9,6686.1
"2014-10-01",6241.2,6804.1
"2015-01-01",5908,6337.1
"2015-04-01",6581.3,6856.9
"2015-07-01",7581.7,6810.7
"2015-10-01",6431.3,7081.6
"2016-01-01",6094.7,6589.9
"2016-04-01",7214.6,7149.9
"2016-07-01",8419,7240
"2016-10-01",7056.8,7468.3
"2017-01-01",6623.5,7144.4
"2017-04-01",7555,7593.1
"2017-07-01",8953.1,7719.4
"2017-10-01",7306.5,8068.6
"2018-01-01",6802.7,7613.7
"2018-04-01",7573.4,8138
"2018-07-01",8881.6,8096.7
"2018-10-01",7708.1,8387.8
"2019-01-01",7149,8000.1
"2019-04-01",7675.4,8402.5
"2019-07-01",9470.7,8626.8
"2019-10-01",7908.1,8938.8
"2020-01-01",7339.5,8134.6
"2020-04-01",6451.1,7249.8
"2020-07-01",8141.1,8133.5
"2020-10-01",7177.1,9019.6
"2021-01-01",7568.3,8549.9
"2021-04-01",7997.4,8955.1
"2021-07-01",8996.8,9164.6
"2021-10-01",7915.4,9347.2
"2022-01-01",8291,10003.6
"2022-04-01",9065,10450.7
"2022-07-01",10235.5,10368.4
"2022-10-01",8805.2,10720.3
"2023-01-01",8698.5,9652.1
"2023-04-01",9029.1,9568.3
"2023-07-01",9922.7,9768.1
"2023-10-01",8746.4,10288.7
"2024-01-01",8600.5,9524.9
"2024-04-01",9425.3,10187.3
"2024-07-01",10178.6,10327.7
"2024-10-01",8838.2,10781
"2025-01-01",8339,10134.2
"2025-04-01",8930.9,10223.2
