"ms","ms_name","fund","year","planned_eu_amount","n_3_decommitment_amount","net_planned_eu_amount","cumulative_initial_pre_financing","cumulative_additional_initial_pre_financing","recovery_of_initial_pre_financing","net_initial_pre_financing","cumulative_annual_pre_financing","annual_pre_financing_covered_by_expenditure","recovery_of_annual_pre_financing","net_annual_pre_financing","cumulative_interim_payments","recovery_of_expenses","net_interim_payments","total_net_payments","eu_payment_rate","eu_payment_rate_on_planned_eu_amount"
"HU","Hungary","ERDF","2018","10785240317","0","10785240317","303341215.56","0","0","303341215.56","745713821.59","46841084.51","420809956.15","278062780.93","3109649309.41","2375028.29","3154115365.63","3735519362.12","34.64","34.64"
"CY","Cyprus","TOTAL","2017","594767585","0","594767585","21123211.09","0","0","21123211.09","24416775.31","241661.63","10316943.91","13858169.77","87843724.69","0","88085386.32","123066767.18","20.69","20.69"
"SI","Slovenia","TOTAL","2018","2330732258","0","2330732258","64458524.01","0","0","64458524.01","159622986.74","5452546.94","93921010.91","60249428.89","307129336.29","0","312581883.23","437289836.13","18.76","18.76"
"SI","Slovenia","TOTAL","2019","2330732258","0","2330732258","64458524.01","0","0","64458524.01","222611026.03","18936111.25","140686875.49","62988039.29","681897860.25","0","700833971.5","828280534.8","35.54","35.54"
"ES","Spain","TOTAL","2016","15469698968","0","15469698968","638552276.36","0","0","638552276.36","364887015.02","0","0","364887015.02","646955081.69","0","646955081.69","1650394373.07","10.67","10.67"
"DK","Denmark","ERDF","2016","206615841","0","206615841","5826566.73","0","0","5826566.73","3884377.82","0","0","3884377.82","786718.46","0","786718.46","10497663.01","5.08","5.08"
"PL","Poland","CF","2020","23139930966","0","23139930966","654465290.97","0","0","654465290.97","2890468785.12","709435186.67","1149114116.68","1031919481.77","12000402635.06","193650.61","12709644171.12","14396028943.86","62.21","62.21"
"IT","Italy","TOTAL","2017","21495538269","0","21495538269","582340156.41","0","0","582340156.41","897774407.87","0","388226770.94","509547636.93","469026882.75","0","469026882.75","1560914676.09","7.26","7.26"
"ES","Spain","TOTAL","2018","20681351741","0","20681351741","638552276.36","0","0","638552276.36","1375171374.83","16000732","827751140.28","531419502.55","2993154595.03","77194386.94","2931960940.09","4101932719","19.83","19.83"
"CZ","Czechia","ERDF","2017","11940689631","0","11940689631","336727447.59","0","0","336727447.59","519121481.71","0","224484965.06","294636516.65","533720824.78","0","533720824.78","1165084789.02","9.76","9.76"
"LV","Latvia","TOTAL","2016","3750667147","0","3750667147","105768813.51","0","0","105768813.51","70512542.34","0","0","70512542.34","142897709.56","0","142897709.56","319179065.41","8.51","8.51"
"CY","Cyprus","CF","2019","294869025","0","294869025","10134768","0","0","10134768","27309525.23","4984167.39","14356522.42","7968835.42","89203135.55","0","94187302.94","112290906.36","38.08","38.08"
"PL","Poland","ERDF","2017","40213870235","0","40213870235","1134031140.72","0","0","1134031140.72","1748298008.7","4231783.49","751788976.99","992277248.22","3181514742.6","0","3185746526.09","5312054915.03","13.21","13.21"
"LT","Lithuania","ERDF","2020","3405652484","0","3405652484","98739811.83","0","0","98739811.83","436100835.59","10933956.17","231801414.59","193365464.83","1676260184.79","838845.06","1686355295.9","1978460572.56","58.09","58.09"
"BG","Bulgaria","CF","2015","2278307144","0","2278307144","42832174.3","0","0","42832174.3","0","0","0","0","0","0","0","42832174.3","1.88","1.88"
"EE","Estonia","ERDF","2016","1874261393","0","1874261393","52854171.27","0","0","52854171.27","35236114.18","0","0","35236114.18","82442537.76","0","82442537.76","170532823.21","9.1","9.1"
"HU","Hungary","ERDF","2017","10756780690","0","10756780690","303341215.56","0","0","303341215.56","467651040.66","0","202227477.04","265423563.62","1429787204.89","0","1429787204.89","1998551984.07","18.58","18.58"
"UK","United Kingdom","TOTAL","2014","2197323984","0","2197323984","20601422.3","0","0","20601422.3","0","0","0","0","0","0","0","20601422.3","0.94","0.94"
"LU","Luxembourg","ERDF","2014","19502403","0","19502403","183322.59","0","0","183322.59","0","0","0","0","0","0","0","183322.59","0.94","0.94"
"IE","Ireland","ERDF","2020","470775098","0","470775098","13462894.8","0","0","13462894.8","51093793.67","9257936.89","25627136.44","16208720.34","221943437.5","0","231201374.39","260872989.53","55.41","55.41"
"LV","Latvia","TOTAL","2015","3750667147","0","3750667147","70512542.34","0","0","70512542.34","0","0","0","0","0","0","0","70512542.34","1.88","1.88"
"CY","Cyprus","TOTAL","2015","561640720","0","561640720","15843908.32","0","0","15843908.32","0","0","0","0","0","0","0","15843908.32","2.82","2.82"
"LV","Latvia","TOTAL","2017","3750667147","0","3750667147","105768813.51","0","0","105768813.51","163060254.18","7335429.72","63177112.62","92547711.84","268334908.98","0","275670338.7","473986864.05","12.64","12.64"
"NL","Netherlands","ERDF","2014","507318228","0","507318228","4768791.34","0","0","4768791.34","0","0","0","0","0","0","0","4768791.34","0.94","0.94"
"CZ","Czechia","ERDF","2016","11940689631","0","11940689631","336727447.59","0","0","336727447.59","224484965.06","0","0","224484965.06","9896274.55","0","9896274.55","571108687.2","4.78","4.78"
"EE","Estonia","CF","2015","1073321882","0","1073321882","20178451.38","0","0","20178451.38","0","0","0","0","9926178.32","0","9926178.32","30104629.7","2.8","2.8"
"HU","Hungary","TOTAL","2016","16782207702","0","16782207702","473258257.29","0","0","473258257.29","315505504.86","0","0","315505504.86","530333194.09","0","530333194.09","1319096956.24","7.86","7.86"
"DE","Germany","TOTAL","2019","10773842813","0","10773842813","303822367.17","0","0","303822367.17","1038059754.64","77453371.76","669443281","291163101.88","2821322591.11","1197358.27","2897578604.6","3492564073.65","32.42","32.42"
"HR","Croatia","ERDF","2014","4321499588","0","4321499588","40622096.13","0","0","40622096.13","0","0","0","0","0","0","0","40622096.13","0.94","0.94"
"SK","Slovakia","CF","2014","4168251427","0","4168251427","39181563.41","0","0","39181563.41","0","0","0","0","0","0","0","39181563.41","0.94","0.94"
"HR","Croatia","ERDF","2017","4321499588","0","4321499588","121866288.39","0","0","121866288.39","187877194.63","0","81244192.26","106633002.37","266936808.25","0","266936808.25","495436099.01","11.46","11.46"
"DE","Germany","TOTAL","2014","10083052883","0","10083052883","74044322.12","0","0","74044322.12","0","0","0","0","0","0","0","74044322.12","0.73","0.73"
"DE","Germany","TOTAL","2020","10758006795","0","10758006795","303822367.17","0","0","303822367.17","1341882121.81","169941707.41","669443281","502497133.4","3825656107.21","1197358.27","3994400456.35","4800719956.92","44.62","44.62"
"GR","Greece","ERDF","2015","8165716612","0","8165716612","230258611.32","268635046.46","0","498893657.78","0","0","0","0","0","0","0","498893657.78","6.11","6.11"
"DK","Denmark","TOTAL","2016","206615841","0","206615841","5826566.73","0","0","5826566.73","3884377.82","0","0","3884377.82","786718.46","0","786718.46","10497663.01","5.08","5.08"
"ES","Spain","ERDF","2021","20681482557","-2111646","20679370911","638552276.36","0","21531983.27","617020293.09","2892122676.4","276886565.47","1744042669.02","871193441.91","11037618431.16","174161357.34","11140343639.29","12628557374.29","61.07","61.06"
"LV","Latvia","ERDF","2019","2401252452","0","2401252452","67715319.12","0","0","67715319.12","231360673.67","11706215.99","154760610.19","64893847.49","805348739.79","1507380.69","815547575.09","948156741.7","39.49","39.49"
"DE","Germany","ERDF","2014","10083052883","0","10083052883","74044322.12","0","0","74044322.12","0","0","0","0","0","0","0","74044322.12","0.73","0.73"
"ES","Spain","TOTAL","2021","20681482557","-2111646","20679370911","638552276.36","0","21531983.27","617020293.09","2892122676.4","276886565.47","1744042669.02","871193441.91","11037618431.16","174161357.34","11140343639.29","12628557374.29","61.07","61.06"
"IE","Ireland","TOTAL","2014","409206529","0","409206529","5769812.06","0","0","5769812.06","0","0","0","0","0","0","0","5769812.06","1.41","1.41"
"EE","Estonia","ERDF","2014","1874261393","0","1874261393","17618057.09","0","0","17618057.09","0","0","0","0","0","0","0","17618057.09","0.94","0.94"
"CY","Cyprus","CF","2017","294869025","0","294869025","10134768","0","0","10134768","11718325.5","241661.63","4825722.37","6650941.5","29517439.22","0","29759100.85","46544810.35","15.78","15.78"
"ES","Spain","ERDF","2015","15469698968","0","15469698968","456108768.85","0","0","456108768.85","0","0","0","0","455852047.78","0","455852047.78","911960816.63","5.9","5.9"
"HR","Croatia","CF","2018","2509755644","0","2509755644","72179196.39","0","0","72179196.39","176153444.52","0","111276261.1","64877183.42","82915344.52","0","82915344.52","219971724.33","8.76","8.76"
"IT","Italy","ERDF","2014","460532952","0","460532952","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LT","Lithuania","TOTAL","2020","5445470110","0","5445470110","156519288.87","0","0","156519288.87","691293525.86","20102258.67","388218368.44","282972898.75","2960584267.68","838845.06","2979847681.29","3419339868.91","62.79","62.79"
"PL","Poland","ERDF","2015","40213870235","0","40213870235","756020760.48","0","0","756020760.48","0","0","0","0","0","0","0","756020760.48","1.88","1.88"
"MT","Malta","TOTAL","2014","602096106","0","602096106","5659703.39","0","0","5659703.39","0","0","0","0","0","0","0","5659703.39","0.94","0.94"
